baseline,baseline_label,model,model_name,embedding,embedding_name,c_paths_detected,c_precision,c_recall,c_f1,embed_paths_detected,embed_precision,embed_recall,embed_f1,embed_a_paths_detected,embed_a_precision,embed_a_recall,embed_a_f1,embed_aplus_paths_detected,embed_aplus_precision,embed_aplus_recall,embed_aplus_f1,channel_synergy,is_deception_baseline,c_paths_detected_list,embed_paths_detected_list,embed_a_paths_detected_list,embed_aplus_paths_detected_list,ground_truth_count,ground_truth_paths,inference_depth_component,llm_tus,embed_a_tus,embed_aplus_tus,embed_tus,tus
B2,Implicit Transformation,dee,DeepSeek,ada02,Ada-002 (OpenAI),2,0.5,0.25,0.3333333333333333,7,0.42857142857142855,0.75,0.5454545454545454,1,0.0,0.0,0.0,6,0.5,0.75,0.6,0.125,False,"[22, 55]","[10, 12, 21, 34, 36, 55, 57]",[12],"[10, 21, 34, 36, 55, 57]",4,"[10, 11, 34, 55]",6.67,26.67,0.0,45.0,45.0,26.67
B2,Implicit Transformation,gem,Gemini 3.0 Pro,ada02,Ada-002 (OpenAI),1,1.0,0.25,0.4,7,0.42857142857142855,0.75,0.5454545454545454,1,0.0,0.0,0.0,6,0.5,0.75,0.6,0.14285714285714285,False,[34],"[10, 12, 21, 34, 36, 55, 57]",[12],"[10, 21, 34, 36, 55, 57]",4,"[10, 11, 34, 55]",8.0,24.0,0.0,45.0,45.0,24.0
B2,Implicit Transformation,gpt,ChatGPT 5.1,ada02,Ada-002 (OpenAI),3,0.3333333333333333,0.25,0.28571428571428575,7,0.42857142857142855,0.75,0.5454545454545454,1,0.0,0.0,0.0,6,0.5,0.75,0.6,0.1111111111111111,False,"[33, 38, 55]","[10, 12, 21, 34, 36, 55, 57]",[12],"[10, 21, 34, 36, 55, 57]",4,"[10, 11, 34, 55]",5.71,28.57,0.0,45.0,45.0,28.57
B2,Implicit Transformation,hai,Claude Haiku 4.5,ada02,Ada-002 (OpenAI),3,0.3333333333333333,0.25,0.28571428571428575,7,0.42857142857142855,0.75,0.5454545454545454,1,0.0,0.0,0.0,6,0.5,0.75,0.6,0.1111111111111111,False,"[38, 55, 60]","[10, 12, 21, 34, 36, 55, 57]",[12],"[10, 21, 34, 36, 55, 57]",4,"[10, 11, 34, 55]",5.71,28.57,0.0,45.0,45.0,28.57
B2,Implicit Transformation,opu,Claude Opus 4.1,ada02,Ada-002 (OpenAI),2,0.0,0.0,0.0,7,0.42857142857142855,0.75,0.5454545454545454,1,0.0,0.0,0.0,6,0.5,0.75,0.6,0.0,False,"[38, 54]","[10, 12, 21, 34, 36, 55, 57]",[12],"[10, 21, 34, 36, 55, 57]",4,"[10, 11, 34, 55]",0.0,0.0,0.0,45.0,45.0,0.0
B2,Implicit Transformation,son,Claude Sonnet 4.5,ada02,Ada-002 (OpenAI),3,0.3333333333333333,0.25,0.28571428571428575,7,0.42857142857142855,0.75,0.5454545454545454,1,0.0,0.0,0.0,6,0.5,0.75,0.6,0.0,False,"[11, 54, 56]","[10, 12, 21, 34, 36, 55, 57]",[12],"[10, 21, 34, 36, 55, 57]",4,"[10, 11, 34, 55]",5.71,28.57,0.0,45.0,45.0,28.57
B2,Implicit Transformation,dee,DeepSeek,cohere,Cohere v3.0,2,0.5,0.25,0.3333333333333333,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,"[22, 55]",[],[],[],4,"[10, 11, 34, 55]",6.67,26.67,0.0,0.0,0.0,26.67
B2,Implicit Transformation,gem,Gemini 3.0 Pro,cohere,Cohere v3.0,1,1.0,0.25,0.4,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,[34],[],[],[],4,"[10, 11, 34, 55]",8.0,24.0,0.0,0.0,0.0,24.0
B2,Implicit Transformation,gpt,ChatGPT 5.1,cohere,Cohere v3.0,3,0.3333333333333333,0.25,0.28571428571428575,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,"[33, 38, 55]",[],[],[],4,"[10, 11, 34, 55]",5.71,28.57,0.0,0.0,0.0,28.57
B2,Implicit Transformation,hai,Claude Haiku 4.5,cohere,Cohere v3.0,3,0.3333333333333333,0.25,0.28571428571428575,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,"[38, 55, 60]",[],[],[],4,"[10, 11, 34, 55]",5.71,28.57,0.0,0.0,0.0,28.57
B2,Implicit Transformation,opu,Claude Opus 4.1,cohere,Cohere v3.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,"[38, 54]",[],[],[],4,"[10, 11, 34, 55]",0.0,0.0,0.0,0.0,0.0,0.0
B2,Implicit Transformation,son,Claude Sonnet 4.5,cohere,Cohere v3.0,3,0.3333333333333333,0.25,0.28571428571428575,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,False,"[11, 54, 56]",[],[],[],4,"[10, 11, 34, 55]",5.71,28.57,0.0,0.0,0.0,28.57
B2,Implicit Transformation,dee,DeepSeek,e5,E5-Large (Local),2,0.0,0.0,0.0,2,0.5,0.25,0.3333333333333333,0,0.0,0.0,0.0,2,0.5,0.25,0.3333333333333333,0.0,False,"[22, 23]","[10, 54]",[],"[10, 54]",4,"[10, 11, 34, 55]",0.0,0.0,0.0,26.67,26.67,0.0
B2,Implicit Transformation,gem,Gemini 3.0 Pro,e5,E5-Large (Local),2,1.0,0.5,0.6666666666666666,2,0.5,0.25,0.3333333333333333,0,0.0,0.0,0.0,2,0.5,0.25,0.3333333333333333,0.0,False,"[34, 55]","[10, 54]",[],"[10, 54]",4,"[10, 11, 34, 55]",13.33,45.0,0.0,26.67,26.67,45.0
B2,Implicit Transformation,gpt,ChatGPT 5.1,e5,E5-Large (Local),7,0.2857142857142857,0.5,0.36363636363636365,2,0.5,0.25,0.3333333333333333,0,0.0,0.0,0.0,2,0.5,0.25,0.3333333333333333,0.125,False,"[2, 34, 36, 54, 55, 56, 60]","[10, 54]",[],"[10, 54]",4,"[10, 11, 34, 55]",7.27,29.09,0.0,26.67,26.67,29.09
B2,Implicit Transformation,hai,Claude Haiku 4.5,e5,E5-Large (Local),5,0.2,0.25,0.22222222222222224,2,0.5,0.25,0.3333333333333333,0,0.0,0.0,0.0,2,0.5,0.25,0.3333333333333333,0.0,False,"[2, 23, 38, 55, 56]","[10, 54]",[],"[10, 54]",4,"[10, 11, 34, 55]",4.44,26.67,0.0,26.67,26.67,26.67
B2,Implicit Transformation,opu,Claude Opus 4.1,e5,E5-Large (Local),4,0.25,0.25,0.25,2,0.5,0.25,0.3333333333333333,0,0.0,0.0,0.0,2,0.5,0.25,0.3333333333333333,0.0,False,"[11, 16, 22, 23]","[10, 54]",[],"[10, 54]",4,"[10, 11, 34, 55]",5.0,30.0,0.0,26.67,26.67,30.0
B2,Implicit Transformation,son,Claude Sonnet 4.5,e5,E5-Large (Local),4,0.25,0.25,0.25,2,0.5,0.25,0.3333333333333333,0,0.0,0.0,0.0,2,0.5,0.25,0.3333333333333333,0.0,False,"[11, 23, 35, 56]","[10, 54]",[],"[10, 54]",4,"[10, 11, 34, 55]",5.0,30.0,0.0,26.67,26.67,30.0
B3,Rapid Oscillation,dee,DeepSeek,ada02,Ada-002 (OpenAI),4,0.5,0.6666666666666666,0.5714285714285715,9,0.3333333333333333,1.0,0.5,1,1.0,0.3333333333333333,0.5,9,0.3333333333333333,1.0,0.5,0.4444444444444444,False,"[9, 23, 32, 34]","[9, 21, 23, 32, 33, 34, 50, 63, 64]",[34],"[9, 21, 23, 32, 33, 34, 50, 63, 64]",3,"[9, 33, 34]",11.43,45.0,30.0,30.0,30.0,45.0
B3,Rapid Oscillation,gem,Gemini 3.0 Pro,ada02,Ada-002 (OpenAI),3,1.0,1.0,1.0,9,0.3333333333333333,1.0,0.5,1,1.0,0.3333333333333333,0.5,9,0.3333333333333333,1.0,0.5,0.3333333333333333,False,"[9, 33, 34]","[9, 21, 23, 32, 33, 34, 50, 63, 64]",[34],"[9, 21, 23, 32, 33, 34, 50, 63, 64]",3,"[9, 33, 34]",20.0,70.0,30.0,30.0,30.0,70.0
B3,Rapid Oscillation,gpt,ChatGPT 5.1,ada02,Ada-002 (OpenAI),5,0.6,1.0,0.7499999999999999,9,0.3333333333333333,1.0,0.5,1,1.0,0.3333333333333333,0.5,9,0.3333333333333333,1.0,0.5,0.4,False,"[9, 23, 33, 34, 36]","[9, 21, 23, 32, 33, 34, 50, 63, 64]",[34],"[9, 21, 23, 32, 33, 34, 50, 63, 64]",3,"[9, 33, 34]",15.0,50.0,30.0,30.0,30.0,50.0
B3,Rapid Oscillation,hai,Claude Haiku 4.5,ada02,Ada-002 (OpenAI),4,0.25,0.3333333333333333,0.28571428571428575,9,0.3333333333333333,1.0,0.5,1,1.0,0.3333333333333333,0.5,9,0.3333333333333333,1.0,0.5,0.18181818181818182,False,"[9, 24, 32, 35]","[9, 21, 23, 32, 33, 34, 50, 63, 64]",[34],"[9, 21, 23, 32, 33, 34, 50, 63, 64]",3,"[9, 33, 34]",5.71,28.57,30.0,30.0,30.0,28.57
B3,Rapid Oscillation,opu,Claude Opus 4.1,ada02,Ada-002 (OpenAI),3,1.0,1.0,1.0,9,0.3333333333333333,1.0,0.5,1,1.0,0.3333333333333333,0.5,9,0.3333333333333333,1.0,0.5,0.3333333333333333,False,"[9, 33, 34]","[9, 21, 23, 32, 33, 34, 50, 63, 64]",[34],"[9, 21, 23, 32, 33, 34, 50, 63, 64]",3,"[9, 33, 34]",20.0,70.0,30.0,30.0,30.0,70.0
B3,Rapid Oscillation,son,Claude Sonnet 4.5,ada02,Ada-002 (OpenAI),3,1.0,1.0,1.0,9,0.3333333333333333,1.0,0.5,1,1.0,0.3333333333333333,0.5,9,0.3333333333333333,1.0,0.5,0.3333333333333333,False,"[9, 33, 34]","[9, 21, 23, 32, 33, 34, 50, 63, 64]",[34],"[9, 21, 23, 32, 33, 34, 50, 63, 64]",3,"[9, 33, 34]",20.0,70.0,30.0,30.0,30.0,70.0
B3,Rapid Oscillation,dee,DeepSeek,cohere,Cohere v3.0,4,0.5,0.6666666666666666,0.5714285714285715,1,1.0,0.3333333333333333,0.5,0,0.0,0.0,0.0,1,1.0,0.3333333333333333,0.5,0.0,False,"[9, 23, 32, 34]",[33],[],[33],3,"[9, 33, 34]",11.43,45.0,0.0,30.0,30.0,45.0
B3,Rapid Oscillation,gem,Gemini 3.0 Pro,cohere,Cohere v3.0,3,1.0,1.0,1.0,1,1.0,0.3333333333333333,0.5,0,0.0,0.0,0.0,1,1.0,0.3333333333333333,0.5,0.3333333333333333,False,"[9, 33, 34]",[33],[],[33],3,"[9, 33, 34]",20.0,70.0,0.0,30.0,30.0,70.0
B3,Rapid Oscillation,gpt,ChatGPT 5.1,cohere,Cohere v3.0,5,0.6,1.0,0.7499999999999999,1,1.0,0.3333333333333333,0.5,0,0.0,0.0,0.0,1,1.0,0.3333333333333333,0.5,0.2,False,"[9, 23, 33, 34, 36]",[33],[],[33],3,"[9, 33, 34]",15.0,50.0,0.0,30.0,30.0,50.0
B3,Rapid Oscillation,hai,Claude Haiku 4.5,cohere,Cohere v3.0,4,0.25,0.3333333333333333,0.28571428571428575,1,1.0,0.3333333333333333,0.5,0,0.0,0.0,0.0,1,1.0,0.3333333333333333,0.5,0.0,False,"[9, 24, 32, 35]",[33],[],[33],3,"[9, 33, 34]",5.71,28.57,0.0,30.0,30.0,28.57
B3,Rapid Oscillation,opu,Claude Opus 4.1,cohere,Cohere v3.0,3,1.0,1.0,1.0,1,1.0,0.3333333333333333,0.5,0,0.0,0.0,0.0,1,1.0,0.3333333333333333,0.5,0.3333333333333333,False,"[9, 33, 34]",[33],[],[33],3,"[9, 33, 34]",20.0,70.0,0.0,30.0,30.0,70.0
B3,Rapid Oscillation,son,Claude Sonnet 4.5,cohere,Cohere v3.0,3,1.0,1.0,1.0,1,1.0,0.3333333333333333,0.5,0,0.0,0.0,0.0,1,1.0,0.3333333333333333,0.5,0.3333333333333333,False,"[9, 33, 34]",[33],[],[33],3,"[9, 33, 34]",20.0,70.0,0.0,30.0,30.0,70.0
B3,Rapid Oscillation,dee,DeepSeek,e5,E5-Large (Local),4,0.75,1.0,0.8571428571428571,4,0.5,0.6666666666666666,0.5714285714285715,0,0.0,0.0,0.0,4,0.5,0.6666666666666666,0.5714285714285715,0.3333333333333333,False,"[9, 23, 33, 34]","[26, 33, 34, 50]",[],"[26, 33, 34, 50]",3,"[9, 33, 34]",17.14,61.43,0.0,45.0,45.0,61.43
B3,Rapid Oscillation,gem,Gemini 3.0 Pro,e5,E5-Large (Local),3,1.0,1.0,1.0,4,0.5,0.6666666666666666,0.5714285714285715,0,0.0,0.0,0.0,4,0.5,0.6666666666666666,0.5714285714285715,0.4,False,"[9, 33, 34]","[26, 33, 34, 50]",[],"[26, 33, 34, 50]",3,"[9, 33, 34]",20.0,70.0,0.0,45.0,45.0,70.0
B3,Rapid Oscillation,gpt,ChatGPT 5.1,e5,E5-Large (Local),9,0.3333333333333333,1.0,0.5,4,0.5,0.6666666666666666,0.5714285714285715,0,0.0,0.0,0.0,4,0.5,0.6666666666666666,0.5714285714285715,0.3,False,"[9, 10, 23, 33, 34, 35, 36, 50, 51]","[26, 33, 34, 50]",[],"[26, 33, 34, 50]",3,"[9, 33, 34]",10.0,30.0,0.0,45.0,45.0,30.0
B3,Rapid Oscillation,hai,Claude Haiku 4.5,e5,E5-Large (Local),4,0.5,0.6666666666666666,0.5714285714285715,4,0.5,0.6666666666666666,0.5714285714285715,0,0.0,0.0,0.0,4,0.5,0.6666666666666666,0.5714285714285715,0.14285714285714285,False,"[9, 23, 32, 34]","[26, 33, 34, 50]",[],"[26, 33, 34, 50]",3,"[9, 33, 34]",11.43,45.0,0.0,45.0,45.0,45.0
B3,Rapid Oscillation,opu,Claude Opus 4.1,e5,E5-Large (Local),4,0.75,1.0,0.8571428571428571,4,0.5,0.6666666666666666,0.5714285714285715,0,0.0,0.0,0.0,4,0.5,0.6666666666666666,0.5714285714285715,0.3333333333333333,False,"[8, 9, 33, 34]","[26, 33, 34, 50]",[],"[26, 33, 34, 50]",3,"[9, 33, 34]",17.14,61.43,0.0,45.0,45.0,61.43
B3,Rapid Oscillation,son,Claude Sonnet 4.5,e5,E5-Large (Local),3,1.0,1.0,1.0,4,0.5,0.6666666666666666,0.5714285714285715,0,0.0,0.0,0.0,4,0.5,0.6666666666666666,0.5714285714285715,0.4,False,"[9, 33, 34]","[26, 33, 34, 50]",[],"[26, 33, 34, 50]",3,"[9, 33, 34]",20.0,70.0,0.0,45.0,45.0,70.0
B4,Stuck States,dee,DeepSeek,ada02,Ada-002 (OpenAI),0,1.0,1.0,1.0,5,0.0,1.0,0.0,3,0.0,1.0,0.0,5,0.0,1.0,0.0,0.0,True,[],"[6, 15, 22, 45, 47]","[15, 22, 45]","[6, 15, 22, 45, 47]",0,[],20.0,70.0,0.0,0.0,0.0,70.0
B4,Stuck States,gem,Gemini 3.0 Pro,ada02,Ada-002 (OpenAI),2,0.0,1.0,0.0,5,0.0,1.0,0.0,3,0.0,1.0,0.0,5,0.0,1.0,0.0,0.4,True,"[15, 22]","[6, 15, 22, 45, 47]","[15, 22, 45]","[6, 15, 22, 45, 47]",0,[],0.0,0.0,0.0,0.0,0.0,0.0
B4,Stuck States,gpt,ChatGPT 5.1,ada02,Ada-002 (OpenAI),0,1.0,1.0,1.0,5,0.0,1.0,0.0,3,0.0,1.0,0.0,5,0.0,1.0,0.0,0.0,True,[],"[6, 15, 22, 45, 47]","[15, 22, 45]","[6, 15, 22, 45, 47]",0,[],20.0,70.0,0.0,0.0,0.0,70.0
B4,Stuck States,hai,Claude Haiku 4.5,ada02,Ada-002 (OpenAI),0,1.0,1.0,1.0,5,0.0,1.0,0.0,3,0.0,1.0,0.0,5,0.0,1.0,0.0,0.0,True,[],"[6, 15, 22, 45, 47]","[15, 22, 45]","[6, 15, 22, 45, 47]",0,[],20.0,70.0,0.0,0.0,0.0,70.0
B4,Stuck States,opu,Claude Opus 4.1,ada02,Ada-002 (OpenAI),0,1.0,1.0,1.0,5,0.0,1.0,0.0,3,0.0,1.0,0.0,5,0.0,1.0,0.0,0.0,True,[],"[6, 15, 22, 45, 47]","[15, 22, 45]","[6, 15, 22, 45, 47]",0,[],20.0,70.0,0.0,0.0,0.0,70.0
B4,Stuck States,son,Claude Sonnet 4.5,ada02,Ada-002 (OpenAI),0,1.0,1.0,1.0,5,0.0,1.0,0.0,3,0.0,1.0,0.0,5,0.0,1.0,0.0,0.0,True,[],"[6, 15, 22, 45, 47]","[15, 22, 45]","[6, 15, 22, 45, 47]",0,[],20.0,70.0,0.0,0.0,0.0,70.0
B4,Stuck States,dee,DeepSeek,cohere,Cohere v3.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,True,[],[],[],[],0,[],20.0,70.0,70.0,70.0,70.0,70.0
B4,Stuck States,gem,Gemini 3.0 Pro,cohere,Cohere v3.0,2,0.0,1.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0.0,True,"[15, 22]",[],[],[],0,[],0.0,0.0,70.0,70.0,70.0,0.0
B4,Stuck States,gpt,ChatGPT 5.1,cohere,Cohere v3.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,True,[],[],[],[],0,[],20.0,70.0,70.0,70.0,70.0,70.0
B4,Stuck States,hai,Claude Haiku 4.5,cohere,Cohere v3.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,True,[],[],[],[],0,[],20.0,70.0,70.0,70.0,70.0,70.0
B4,Stuck States,opu,Claude Opus 4.1,cohere,Cohere v3.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,True,[],[],[],[],0,[],20.0,70.0,70.0,70.0,70.0,70.0
B4,Stuck States,son,Claude Sonnet 4.5,cohere,Cohere v3.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,True,[],[],[],[],0,[],20.0,70.0,70.0,70.0,70.0,70.0
B4,Stuck States,dee,DeepSeek,e5,E5-Large (Local),1,0.0,1.0,0.0,8,0.0,1.0,0.0,1,0.0,1.0,0.0,7,0.0,1.0,0.0,0.125,True,[22],"[4, 13, 15, 22, 27, 33, 44, 45]",[13],"[4, 15, 22, 27, 33, 44, 45]",0,[],0.0,0.0,0.0,0.0,0.0,0.0
B4,Stuck States,gem,Gemini 3.0 Pro,e5,E5-Large (Local),2,0.0,1.0,0.0,8,0.0,1.0,0.0,1,0.0,1.0,0.0,7,0.0,1.0,0.0,0.25,True,"[15, 22]","[4, 13, 15, 22, 27, 33, 44, 45]",[13],"[4, 15, 22, 27, 33, 44, 45]",0,[],0.0,0.0,0.0,0.0,0.0,0.0
B4,Stuck States,gpt,ChatGPT 5.1,e5,E5-Large (Local),2,0.0,1.0,0.0,8,0.0,1.0,0.0,1,0.0,1.0,0.0,7,0.0,1.0,0.0,0.25,True,"[15, 22]","[4, 13, 15, 22, 27, 33, 44, 45]",[13],"[4, 15, 22, 27, 33, 44, 45]",0,[],0.0,0.0,0.0,0.0,0.0,0.0
B4,Stuck States,hai,Claude Haiku 4.5,e5,E5-Large (Local),2,0.0,1.0,0.0,8,0.0,1.0,0.0,1,0.0,1.0,0.0,7,0.0,1.0,0.0,0.1111111111111111,True,"[22, 49]","[4, 13, 15, 22, 27, 33, 44, 45]",[13],"[4, 15, 22, 27, 33, 44, 45]",0,[],0.0,0.0,0.0,0.0,0.0,0.0
B4,Stuck States,opu,Claude Opus 4.1,e5,E5-Large (Local),2,0.0,1.0,0.0,8,0.0,1.0,0.0,1,0.0,1.0,0.0,7,0.0,1.0,0.0,0.25,True,"[15, 22]","[4, 13, 15, 22, 27, 33, 44, 45]",[13],"[4, 15, 22, 27, 33, 44, 45]",0,[],0.0,0.0,0.0,0.0,0.0,0.0
B4,Stuck States,son,Claude Sonnet 4.5,e5,E5-Large (Local),1,0.0,1.0,0.0,8,0.0,1.0,0.0,1,0.0,1.0,0.0,7,0.0,1.0,0.0,0.125,True,[22],"[4, 13, 15, 22, 27, 33, 44, 45]",[13],"[4, 15, 22, 27, 33, 44, 45]",0,[],0.0,0.0,0.0,0.0,0.0,0.0
B5,Nested Complexity,dee,DeepSeek,ada02,Ada-002 (OpenAI),2,0.5,0.14285714285714285,0.22222222222222224,7,0.5714285714285714,0.5714285714285714,0.5714285714285714,4,0.75,0.42857142857142855,0.5454545454545454,6,0.6666666666666666,0.5714285714285714,0.6153846153846153,0.0,False,"[16, 31]","[27, 28, 44, 53, 60, 61, 62]","[53, 60, 61, 62]","[27, 28, 44, 60, 61, 62]",7,"[16, 27, 41, 59, 60, 61, 62]",4.44,17.78,41.36,48.08,48.08,17.78
B5,Nested Complexity,gem,Gemini 3.0 Pro,ada02,Ada-002 (OpenAI),3,0.6666666666666666,0.2857142857142857,0.4,7,0.5714285714285714,0.5714285714285714,0.5714285714285714,4,0.75,0.42857142857142855,0.5454545454545454,6,0.6666666666666666,0.5714285714285714,0.6153846153846153,0.0,False,"[16, 23, 41]","[27, 28, 44, 53, 60, 61, 62]","[53, 60, 61, 62]","[27, 28, 44, 60, 61, 62]",7,"[16, 27, 41, 59, 60, 61, 62]",8.0,28.0,41.36,48.08,48.08,28.0
